,root,notes,omega_b,omega_cdm,h,A_s,n_s,alpha_s,N_ur,N_ncdm,omega_ncdm,w0_fld,wa_fld,sigma8_m,sigma8_cb
c000,abacus_cosm000,"Baseline LCDM, Planck 2018 base_plikHM_TTTEEE_lowl_lowE_lensing mean",0.02237,0.1200,0.6736,2.0830e-9,0.9649,0.0,2.0328,1,0.00064420,-1.0,0.0,0.807952,0.811355
c001,abacus_cosm001,"WMAP9+ACT+SPT LCDM, Calabrese++ 2017",0.02242,0.1134,0.7030,2.0376e-9,0.9638,0.0,2.0328,1,0.00064420,-1.0,0.0,0.776779,0.780222
c002,abacus_cosm002,"wCDM with thawing model w0 = -0.7, wa = -0.5",0.02237,0.1200,0.6278,2.3140e-09,0.9649,0.0,2.0328,1,0.00064420,-0.7,-0.5,0.808189,0.811577
c003,abacus_cosm003,"Neff=3.70, from base_nnu_plikHM_TT_lowl_lowE_Riess18_post_BAO",0.02260,0.1291,0.7160,2.2438e-9,0.9876,0.0,2.6868,1,0.00064420,-1.0,0.0,0.855190,0.858583
c004,abacus_cosm004,"Low sigma8_matter = 0.75, otherwise Baseline LCDM",0.02237,0.1200,0.6736,1.7949e-9,0.9649,0.0,2.0328,1,0.00064420,-1.0,0.0,0.749999,0.753159
c013,abacus_cosm013,"Euclid Flagship2 LCDM, sigma8_m=0.813715, sigma8_cb=0.817135",0.02200,0.1206,0.6700,2.1000e-9,0.9600,0.0,2.0328,1,0.00064420,-1.0,0.0,0.813715,0.817135
c100,abacus_cosm100,Baseline +2% ln(omega_b),0.02282,0.1200,0.6777,2.0934e-09,0.9649,0.0,2.0328,1,0.00064420,-1.0,0.0,0.808181,0.811575
c101,abacus_cosm101,Baseline -2% ln(omega_b),0.02193,0.1200,0.6696,2.0751e-09,0.9649,0.0,2.0328,1,0.00064420,-1.0,0.0,0.808156,0.811570
c102,abacus_cosm102,Baseline +3.3% ln(omega_c),0.02237,0.1240,0.6597,2.0205e-09,0.9649,0.0,2.0328,1,0.00064420,-1.0,0.0,0.808270,0.811574
c103,abacus_cosm103,Baseline -3.3% ln(omega_c),0.02237,0.1161,0.6877,2.1541e-09,0.9649,0.0,2.0328,1,0.00064420,-1.0,0.0,0.808075,0.811582
c104,abacus_cosm104,Baseline +0.01 n_s,0.02237,0.1200,0.6736,2.0684e-09,0.9749,0.0,2.0328,1,0.00064420,-1.0,0.0,0.808166,0.811572
