hod,LOGM_CUT,LOGM1,SIGMA,ALPHA,KAPPA,ALPHA_C,ALPHA_S,S,ACENT,ASAT,BCENT,BSAT
0,13.63999071,14.48308842,4.768810723,1.426219171,0.8345195676,0.2308424487,0.6478699736,0.6058060359,-0.2247288598,0.4592109923,-0.3667647259,-0.2407021646
1,13.49070027,14.17753266,5.710524316,1.418342319,0.9037754096,0.06181701071,0.9513179686,0.970505293,-0.1276465553,-0.1314870905,-0.6425947451,-0.3824683052
3,13.62333044,14.35543786,5.12576318,0.9610516962,0.1556038722,0.03389262066,1.171994128,-0.9510981849,0.3443648206,-0.1342160953,0.1265512289,0.4328251488
4,13.52501981,13.9497529,1.038806369,0.4320065131,0.5455911094,0.4073417444,1.127968283,-0.9029934584,-0.9686776112,0.6744886252,0.1608139838,-0.8808614448
6,12.63545776,14.28663649,0.002535879991,0.5998346797,0.2258556934,0.1017134623,0.825303631,0.9025882788,0.3601696452,0.8153518723,-0.310218582,-0.1151100727
7,12.50568773,14.53614865,0.006899847098,0.6365659498,0.4510226034,0.07825994363,1.238611114,-0.3260593871,-0.0054901662,0.7587723796,-0.3278403232,0.9873024465
8,12.51629166,14.91789869,0.006366574695,0.7946800496,0.3698451051,0.3192819318,0.6082439806,0.6475210103,-0.391109352,-0.7514943378,-0.5500831094,0.7354690641
9,12.76627884,14.71294146,0.01910257867,0.4156022121,0.02850897103,0.08288936676,0.8023295914,-0.496342561,-0.2247025636,-0.3159943893,-0.5871362592,-0.4094718953
11,12.79941703,14.8953198,0.008689147286,1.350754331,0.6499651103,0.01813235795,0.6233816771,-0.8725272381,-0.06929254384,0.8139701859,0.03837194091,0.2592027941
13,12.52834063,13.80520511,0.001372514002,0.99645053,0.6923752334,0.4857191123,1.085848705,-0.3843573408,0.8910901468,0.4311325816,0.1975828808,0.8520981583
17,12.83113983,15.09785156,3.572294813,0.7477666036,0.3348266939,0.4877468114,1.025857282,-0.9563901061,0.1554873643,-0.6339760825,-0.196099824,0.6595687159
18,12.63148243,13.97408314,5.256205802,0.9942601086,0.3490116206,0.2799077196,0.8902129679,0.5296320787,0.5100713002,0.7567615038,-0.2539923163,-0.2874800819
20,12.94921005,14.69599305,1.953535513,0.6767323369,0.2464743004,0.5535514068,0.9044732117,0.8756082311,-0.6986087843,-0.2341285176,0.0565400282,-0.2595562028
22,13.39989295,14.30498252,2.002457252,0.5599403874,0.7546659566,0.068124671,0.6769417959,-0.4291080579,-0.7275178249,-0.4306718229,-0.3936504222,-0.5069381152
23,13.23996418,14.52621243,3.14326457,0.7456759566,0.2070976696,0.2390334929,1.193037546,-0.1756497379,0.7441330323,-0.8782483252,-0.5509061285,-0.06484012284
26,13.60386521,14.22729449,8.872714912,0.3925081356,0.6581878433,0.413466017,0.9678210984,0.3007046126,0.4514032061,0.8494903818,-0.04109725674,-0.5916520945
29,12.71043692,14.76411857,1.219207601,0.8541259788,0.797132507,0.2548911082,0.7408200595,0.4075934519,-0.2390450673,0.2988640151,0.1570873183,-0.526816552
30,13.12208083,13.8730582,8.669496476,0.564248165,0.4426125872,0.09154624649,0.6353118537,-0.8852306904,-0.05296960584,0.9107820327,0.114811666,0.5540318975
32,12.50421948,14.9762802,0.05726458906,0.4154635759,0.3328170271,0.1211164117,0.5915512026,-0.859143214,-0.8862352946,-0.9282337219,0.04818489297,-0.2980621046
33,13.6612181,13.81391057,6.55834694,0.8945259807,0.6047781109,0.5272966975,0.6689544902,-0.7903775897,-0.06450234307,-0.750257584,-0.54917687,0.6857523968
36,12.54675562,14.39605243,0.09505334706,0.470779019,0.7731788633,0.5592815224,1.203679919,-0.2851710742,-0.7230595417,-0.9724031043,0.1056334088,-0.3738893836
39,13.20781822,13.87819737,7.851046338,0.5395108048,0.2961276197,0.117198482,0.9330956695,-0.1516532332,-0.7967794157,0.5347677802,0.1654467787,-0.6911392715
44,13.54982273,14.52839034,2.348715086,0.8942868762,0.3380613604,0.1070449906,0.6191208024,-0.5091799393,-0.2635588817,0.382356725,0.1263095566,-0.9183703916
45,12.67002813,14.10186166,3.363642698,0.4397711142,0.8636349982,0.0583071657,1.348118328,-0.596059785,-0.4943473023,0.6152513244,-0.09960598314,-0.9530293532
47,12.80572821,13.93906495,0.2073625693,1.152478514,0.4231520706,0.1725108089,0.97217052,0.6056464793,-0.8408060654,0.3279846274,-0.1752297125,0.1735913061
48,12.57854109,14.40720119,0.008705554008,0.534851381,0.9641560617,0.1521124584,1.070543645,-0.09597749134,-0.3007184129,0.4205073834,-0.6126076443,-0.3298902416
49,12.9815697,13.93044963,6.450403246,0.6884153112,0.9575249554,0.1778357493,0.6790625334,-0.5410395048,0.04734330176,-0.4616726754,-0.4754591417,-0.520642959
50,12.79455827,14.23892858,2.038545074,1.248381096,0.5233440642,0.4802421298,0.8826945121,0.1926131407,-0.1970732623,-0.7158488018,-0.352733212,0.5235659796
51,12.56787236,13.77850023,3.500520417,0.9763791417,0.4445223752,0.04912118639,1.122659173,0.6919111893,-0.935717325,0.883990206,-0.2980052742,-0.4602327135
53,12.5859719,14.6512643,0.002340032763,1.184765588,0.5064568796,0.03521041468,1.479707454,0.7381997562,0.3668904596,-0.2081171625,-0.05912953915,-0.3520416867
55,12.9395807,13.9462017,0.001426936313,0.7282681992,0.4203605149,0.5911039224,1.051054152,-0.8173627751,-0.2997464902,-0.7540681588,0.0008036096549,-0.7118204675
57,13.13499639,14.11299485,7.022631738,0.9756212813,0.5962398556,0.2352188008,0.7030476107,-0.8132225605,0.06161788614,-0.3990265069,-0.4819487089,-0.01149197902
60,12.74574185,14.12551851,0.002016643283,0.6070246747,0.9078586803,0.2386683494,1.209836061,0.9896631025,-0.9847671383,-0.7645303218,-0.6449815194,0.2248150012
61,12.71682666,14.42430423,0.6747029502,1.079027761,0.2622984505,0.4466279574,1.448009013,0.04602775113,0.1847711681,0.9709177586,-0.2217400061,0.4283815758
62,12.9750019,14.24557766,0.008602067434,0.3137301103,0.8074461722,0.5767193687,0.8946483308,0.6805404147,0.1900465443,0.3172904027,-0.4019241443,-0.5893724738
63,12.67314403,14.44534104,0.008881341743,1.442553163,0.6986557556,0.2541677822,0.7585506689,0.9986310635,-0.6389648414,-0.6656201852,0.0758580616,0.1036873868
64,12.87983467,14.6208457,2.50708729,1.071359283,0.4600372571,0.04234101844,1.086551457,-0.1279832967,-0.1762198871,0.7799567451,-0.3404246246,0.9795560324
66,12.94372019,14.40665383,8.659320648,1.182258312,0.1814173116,0.1547315905,0.8847069008,0.2558821798,-0.3719853807,-0.4009463431,-0.1504437432,0.8763279609
67,12.79674649,14.33247784,0.009980024851,0.3937489593,0.9217344778,0.4070164502,0.8716731635,-0.5736053283,-0.9238558672,0.2485483072,0.1556723959,-0.5818199871
70,12.63553985,14.90468806,0.003275393259,0.6596591861,0.5776739687,0.5160728731,0.7278168054,0.5793948849,-0.509273268,-0.367899231,-0.4590613524,0.381749289
71,13.04634969,14.29321131,1.776900543,1.020419856,0.0692036384,0.129576942,0.8552260506,-0.456141837,0.403099359,0.1843053773,0.04655128825,0.4930504293
72,13.14859874,13.96865644,4.557212814,0.3619287825,0.2496275114,0.3460334532,1.115246133,-0.4720116582,-0.4831964011,-0.3344675429,0.09832554198,-0.9517501964
73,12.60025526,14.33097521,0.02546047224,0.5582951443,0.7021831495,0.4814998292,1.407272488,-0.8287768593,-0.9016261774,-0.3738075441,-0.4359995287,0.1062922303
74,13.50243005,14.67404973,1.302819021,0.9846837322,0.5493881884,0.1247748966,1.024892143,0.6008145555,0.8445930602,0.2969759582,-0.1221452162,-0.1617454314
75,12.51990238,14.94788111,0.007915379024,1.250826518,0.6131074026,0.5414320196,1.012809691,0.4524486083,0.4415471532,-0.2099458955,-0.3776170538,-0.2097331835
76,12.60663318,13.86395523,0.01229065976,0.9770373546,0.477377289,0.06147495946,0.8768301294,-0.7313625474,0.344647738,0.04896308406,-0.2334306658,-0.4556674303
79,12.54951351,14.78614991,0.2200759227,1.280742269,0.4867211765,0.2911642164,1.486933846,-0.7430511822,0.8214090747,0.3107296468,-0.6465142683,-0.130326783
80,12.82779756,14.22243348,0.3579598321,1.244328917,0.01008857273,0.009757059612,1.452362826,-0.1144462388,-0.3234634448,-0.8984841543,0.005213497294,0.9456446109
81,13.10525457,14.09906625,1.131616573,1.026294624,0.1082518964,0.2452968572,0.6352321598,0.5935616927,0.1523426188,-0.1323763662,0.170204748,0.4179648123
