hod,LOGM_CUT,LOGM1,SIGMA,ALPHA,KAPPA,ALPHA_C,ALPHA_S,S,ACENT,ASAT,BCENT,BSAT
0,12.86349779,14.86099095,0.02134939096,1.34246798,0.009829158608,0.3201581951,0.8992422899,0.5670345767,-0.7384909468,0.8675518533,-0.3739794266,-0.8143259583
1,12.79298585,15.06952462,2.420674749,1.269753865,0.9618211541,0.04085213695,1.153510508,-0.1292500373,-0.97598755,0.9873039993,-0.6138633414,-0.03116330016
2,13.62778497,14.36652923,1.335328425,0.4566582318,0.3548858337,0.5428879677,0.7435422076,-0.2385428031,0.002922307318,-0.8909347867,-0.343207254,-0.6159806082
3,12.60130841,13.96131741,0.1606495865,1.373370045,0.8669845454,0.527380577,0.6876840494,0.03941128566,-0.4846025867,-0.6793255845,-0.03769011898,-0.855476504
4,12.6681702,13.77406422,0.005658433983,0.4983452684,0.5066073496,0.5544856312,1.448893079,-0.219664593,0.3490162665,-0.2718770099,0.04123401087,0.7631060712
7,12.82038947,14.4049596,1.876198008,1.42797816,0.5117431325,0.5911871113,1.1918816,0.6962329865,-0.7123022712,-0.4316311884,-0.570686017,0.6557383266
9,13.63535024,13.92562034,7.160990317,1.213878413,0.5337409773,0.2302170809,0.6474945283,0.1602002697,0.03586071855,-0.2406347776,-0.4078371497,-0.1021440625
13,12.9204522,15.07980061,5.031995105,0.5076076816,0.5609843924,0.2491642297,1.054889774,-0.01434111611,0.5579525198,-0.7056332794,-0.6270166417,0.5664430864
14,13.19252813,14.52256615,5.281482499,0.5469755997,0.8766315039,0.32081446,1.09609981,-0.8679175635,-0.1275533865,0.4885259908,-0.5786744322,0.5180417949
18,12.63749051,13.77732573,0.3326030386,0.8635986721,0.4766622333,0.4811983897,1.166588933,0.07741619642,0.02559504569,-0.3845059075,-0.2588218288,-0.5607599423
19,12.79737518,14.67533128,0.9353433116,0.6854918112,0.9686138681,0.06502604255,1.251593963,-0.4508215839,0.340864038,-0.5086509397,0.06639774363,-0.1386799938
21,12.82045866,14.54690931,0.001819775959,0.8986415731,0.2307987735,0.4132387919,0.9439563111,0.1410898843,-0.4893364342,0.5249326114,0.02790373749,-0.1117303255
23,12.55905485,13.64373178,0.05477165005,0.3613115398,0.6190950185,0.04142995463,0.9078379325,-0.6386393263,-0.3957276318,0.8468523276,-0.4979368067,-0.2528921639
24,12.67883055,14.16746926,0.2182555697,1.379259223,0.2269924565,0.5966609767,1.129914644,0.4297728049,-0.6024057289,0.4647843332,0.06067673777,0.1137890239
