hod,LOGM_CUT,LOGM1,SIGMA,ALPHA,KAPPA,ALPHA_C,ALPHA_S,S,ACENT,ASAT,BCENT,BSAT
0,12.74924779,14.80572495,7.694386104,0.3375062196,0.6124266342,0.3550512067,1.290069475,0.606671655,-0.0235210977,-0.1206982946,0.1164836618,0.03024970143
1,13.61420224,14.03826755,1.957672116,0.6674388334,0.5695939325,0.5744524806,1.489154057,-0.8013082625,0.8540710714,0.1283933977,-0.001604968281,-0.399723797
2,12.7266419,13.96829849,0.2956954134,0.7358571282,0.654520388,0.3500979871,0.6623940235,0.4249337293,0.8783291147,-0.2508503763,0.0323936213,-0.2922056736
4,13.27522793,13.78397197,2.271231358,0.5249539338,0.4858300841,0.591450322,0.7552942844,-0.7279841484,0.859574323,0.4585869498,-0.03386410456,-0.4512703479
7,12.52128468,14.53384339,0.006344789409,0.5465085981,0.2134146701,0.232769464,0.8266522706,-0.7434508178,-0.2116588276,-0.2872611924,0.1012404763,-0.723429397
8,12.69745302,14.79587579,0.3431981357,0.8133053164,0.4773221241,0.334455607,1.011882381,-0.4999712127,-0.5928522384,0.6650051577,0.001306245788,-0.5826141455
10,12.91285063,14.04704833,0.01012058865,1.355171048,0.9498960931,0.1014046438,0.8409326233,-0.2798883358,-0.6505529108,-0.2900489147,0.1912721013,-0.6670904155
11,13.42185658,14.87880473,4.8995682,1.115607531,0.05903387827,0.3847218931,1.432907694,0.1678497735,-0.7596168068,0.4615469989,0.03446318981,0.9822558654
12,12.59775503,14.74088605,1.039193104,0.9609311361,0.3660130261,0.08801404144,0.6172240244,0.6272631978,-0.2767841993,0.296524343,-0.03304976886,-0.2634853931
15,13.19631056,14.11955293,2.367502293,0.7342184271,0.7973634702,0.4141999824,1.426373022,0.9836581299,-0.9291955825,0.5808522895,-0.2879472064,-0.02272526108
16,12.50821594,14.88258521,0.5805244778,0.4296659838,0.1085678959,0.08599780915,1.337170301,-0.8155439343,-0.7433650922,-0.1993924706,-0.01265356623,-0.6626028039
17,12.77259419,13.77327581,0.03791988486,0.9676140468,0.1167538544,0.2205784284,0.8640324748,-0.8859649767,0.8786035412,0.8285129318,-0.2376305586,-0.9383384142
18,12.69946827,13.64625247,0.001183516211,0.5904492085,0.9878492967,0.5038318253,0.6962392348,0.6306199622,0.1016178111,-0.5738614799,-0.4798561353,0.1421335944
22,13.50807026,14.93876936,7.675122312,0.4115307054,0.6200711865,0.3221783564,0.7132148125,0.3440355379,0.5574668157,0.03563119115,-0.4224442863,-0.0855831128
24,12.74932728,14.20028308,0.6957672475,0.885261248,0.8775432652,0.3529195652,1.396614232,0.2263295091,0.07356248564,0.7650250594,-0.1553042854,-0.7111188996
25,13.31510966,13.74976429,0.6825184721,0.6647570154,0.7000121053,0.5407408618,1.192794774,0.5998681016,-0.07442114766,-0.993273744,0.09587044949,-0.7516258801
26,12.73158604,15.07065172,0.526945824,0.7703907666,0.6017411267,0.2884234121,1.165398941,-0.3579220346,-0.1165953012,-0.5336391505,-0.1041733755,-0.7917463707
27,12.6879835,13.69019856,0.3365835682,1.358552821,0.1567671176,0.3599073498,1.295319936,-0.7084995972,0.6580768633,-0.8939541977,0.04858860833,0.8574146033
29,13.56178743,14.96101282,8.219350838,1.227974429,0.2661014134,0.498814623,0.6666253601,0.9008623412,-0.3029828068,0.7926289285,-0.0632367965,0.2157165366
31,13.08209016,13.6857217,1.454385667,0.6042552346,0.3428723161,0.1198267232,1.481135212,-0.3869153387,0.8135897918,0.6814144003,-0.4951307767,0.7525603904
32,12.70056537,14.868208,0.1180709574,0.3624806442,0.5748466039,0.3080884035,0.9703238938,0.6811114335,0.6751342426,-0.8419981055,0.193476904,-0.176601604
33,12.97694581,14.12615502,1.266605519,0.8795211768,0.6029754117,0.5912164008,0.805820395,0.3361098943,0.7463071992,0.08670934208,-0.1420239276,-0.5675911484
35,12.92928745,14.06858578,0.003162759296,1.236321751,0.4016629693,0.320184915,0.7624890631,0.2249576067,0.5259994368,0.885472039,-0.4837022605,0.5511553809
36,12.80683604,14.93705667,0.1991383949,1.085546239,0.5687274079,0.2777749844,1.160782069,-0.5673597602,-0.08678587627,0.1626250762,-0.1323090095,0.2495292875
38,13.0914749,14.11367783,3.875166604,1.402182063,0.5746300742,0.4471357453,0.6194600462,0.2401065907,0.4517346555,0.4209145462,-0.6435714824,-0.4614789615
40,12.92652279,13.80254756,0.02070304011,0.3088930195,0.6849781687,0.2461014341,1.163738186,-0.1289677478,-0.1078236432,-0.1642663549,-0.5046008638,0.6724111536
41,12.63432056,15.07297563,0.1738564138,0.4778900038,0.5491707886,0.4896388588,0.7734919542,0.9729444941,0.2369574792,-0.9474713528,-0.2554470714,-0.005701975209
42,12.6183099,14.68973499,0.1134435569,0.426969269,0.8852327917,0.3348913116,0.790627973,0.6918267305,0.5748022129,0.09426892822,-0.2752001299,0.1719263411
44,12.89242043,14.96250326,0.01437202387,0.8558979818,0.1855132066,0.03973829933,0.7954221716,-0.3243009203,-0.5728225838,-0.3126345069,0.1038237689,-0.9201325424
45,12.73540073,15.06643043,0.002612379439,1.326723931,0.693587902,0.4921972431,1.406774011,0.3549840557,-0.3813213369,0.868906007,-0.4152364653,-0.3555390993
46,12.85803889,14.02856354,0.05121145986,0.4844584914,0.8581559113,0.581767634,1.46535117,-0.07550080148,-0.4694864749,-0.2186446686,-0.09844782172,-0.4107631664
47,13.5217095,13.86869253,7.165488779,1.062694399,0.1067475294,0.2124859199,0.9551128079,0.6908707756,0.6253784305,0.09881841407,-0.06236908262,-0.7135283338
48,12.77941015,14.80897739,6.315091832,1.04127629,0.6134925919,0.3818507844,0.7292530358,-0.3287306185,0.4167252188,-0.8730005417,-0.4496907978,0.2386486178
56,12.58922961,15.05420992,7.907477135,0.3538233987,0.3927175281,0.4992713448,1.257031697,0.4565510949,-0.8505638952,-0.3712210774,-0.2609438795,0.09272061453
57,13.56496074,14.0112351,2.541047566,1.207443097,0.3049904231,0.40514167,1.40800865,0.7619615478,0.8329495954,0.6684811597,0.1600147663,0.3774826084
58,12.62501387,13.93109806,0.1899227919,0.7053505329,0.4640373337,0.4998966482,0.6572478955,-0.6393585925,-0.9471522313,-0.5189117932,0.1239378488,0.601182874
59,13.37777465,14.19189901,3.997200651,0.4853362417,0.7153167054,0.5877621127,1.294962179,0.6587611134,-0.2304948764,-0.2942123015,-0.3072697086,0.3225265502
60,12.76231908,13.60355479,0.02764303297,0.7451849933,0.6269418414,0.3435045935,0.6059536467,-0.218923704,0.1434069435,0.2183683432,0.1410696174,-0.7065721853
61,12.98280927,13.85232235,0.8034054343,1.17865398,0.6657924272,0.3629065564,0.9778338897,0.5084479,0.02144544896,-0.6407782389,-0.05191846925,-0.9482157625
65,12.96093481,14.35038791,0.5041647422,0.5583215502,0.3234766108,0.2081972151,1.07690049,-0.8336180141,0.09420175028,0.7105897457,-0.1300038628,-0.5799806032
66,12.71148039,13.92007622,0.02924167565,1.156276926,0.8124892847,0.3254638009,1.363937408,-0.9225393085,-0.7715056654,-0.6788640527,-0.06998929017,-0.6129704617
68,12.68794709,13.99934685,0.2138027739,0.4169824795,0.8668146642,0.04832290751,1.425870657,0.237245568,-0.6236298529,-0.5631310742,-0.5140820771,-0.9084122317
69,12.85993461,13.91213943,0.06789302122,1.22584944,0.1421692957,0.131663802,1.245517765,-0.9758142073,-0.7452839862,0.8253915395,-0.1885365362,0.7069471714
73,13.05303521,13.96827068,1.933141316,1.475623981,0.3128686408,0.3326265175,1.272106087,-0.5711983559,0.5068689841,-0.3953995267,-0.5835660669,0.5160483908
76,12.80047026,13.61739923,0.2155289928,1.260879103,0.08675101952,0.04403480845,0.7462180724,-0.6233742827,0.1875973926,0.3647698601,-0.1575227351,-0.6560459957
78,12.72768122,14.57054202,0.01096895659,0.5213659073,0.3660930421,0.5710927014,0.9874332052,0.8561143143,-0.9123110926,0.8230808208,0.1921869682,0.5795929299
80,12.71687538,14.58497505,0.003037779085,1.306350372,0.9310398311,0.5159257371,1.384178918,-0.890560644,0.7146255186,-0.5314394658,-0.07963357061,-0.09150273544
81,12.94614523,15.01586096,1.470052626,1.204463652,0.7057805984,0.2137396308,1.432798404,0.6454272575,-0.7436481104,-0.03404530341,-0.08388519507,0.3110240443
82,12.59987335,14.61838073,0.02339482001,0.3448322434,0.9043634942,0.5968007626,0.8958945794,-0.3853634404,-0.3688395607,-0.6277712673,-0.1475701059,0.3935750047
83,12.87462145,14.53902713,0.02787040403,0.9721830434,0.6012530476,0.258789154,1.234499342,-0.3712840337,-0.5275631167,0.3459282177,-0.3040738288,-0.09015446449
84,13.31393125,14.63957778,2.842244274,0.3536638372,0.749425124,0.4124096004,1.059764024,-0.2465057285,-0.776805475,0.4480932307,-0.4802641922,0.6725549758
87,13.19920048,14.19254485,8.735140413,1.306658762,0.6565407051,0.4651117473,0.9567107517,0.6323463557,-0.1839094362,-0.6705783705,0.1165728962,-0.4705047095
88,12.52777471,14.71090982,0.001088592351,0.5946732459,0.02376140555,0.5380764963,0.6166785121,0.910223602,0.8360819917,0.9787059284,0.0846170199,-0.5598080933
89,12.77850484,14.47310942,0.411685598,1.202354856,0.5914583797,0.3830826612,1.261079936,0.4641984702,-0.4642968278,0.8008695231,-0.4787024401,-0.7177620137
90,12.87317693,14.79658734,0.007448798788,1.333139509,0.6267130348,0.2982511678,1.470824186,-0.7814979649,0.7083264232,0.8935186859,-0.4821330463,0.2154974642
92,13.25545262,14.27645975,2.608068541,0.6798055822,0.4344137723,0.04547030627,1.107094695,-0.3162763251,0.4734597836,0.1463698002,-0.5873244955,0.9217066197
95,13.52178639,13.8650427,0.9577008758,1.192396267,0.8186372009,0.3497468591,0.8207264567,0.4780908093,0.03866541376,0.8675103789,-0.242168171,0.5599515357
96,12.7437089,14.88479004,0.6673680599,1.474990144,0.494958527,0.5262041028,0.5837762306,0.3287617095,-0.4665748597,-0.729489697,-0.562044736,-0.1525102085
102,12.66656194,14.48844563,0.04193464872,1.021528811,0.287989341,0.227063115,0.9407950114,0.1842819048,0.3886564284,0.8897792111,-0.0832959528,0.811936832
106,12.60486196,14.24573456,0.7730216356,1.27419193,0.6529153117,0.5485853619,0.6380553957,0.7032853104,-0.9259543728,0.1699327192,-0.5168787001,0.7699222149
107,12.82306757,15.04233776,0.008363758614,0.9264572775,0.4868063127,0.1995519691,0.9833913777,0.2138938972,0.6305902398,0.4909387587,-0.08060549275,0.7265297679
111,12.84159089,14.67175345,0.09994018317,0.5836088612,0.9439415149,0.3557169391,1.45658505,-0.8875923988,-0.917207806,0.526719578,0.131169706,-0.2074357926
