kind,label,g3_alone,g4_alone,g3_add,g4_add,nb,randleg,sig_lnwb_add,sig_lnwc_add,sig_ns_add,sig_lns8_add
pair,xrQ1+xrQ4,10.0386,9.3413,55.8406,64.6255,90,1,1.8447e-04,4.3205e-04,3.7105e-03,1.0023e-02
pair,xdQ1+xrQ4,9.7588,9.6836,44.5802,59.0229,90,1,2.1510e-04,5.6447e-04,3.6028e-03,8.7869e-03
pair,xdQ4+xrQ4,8.5135,9.6718,43.3477,60.3018,90,1,1.9285e-04,5.4020e-04,3.1847e-03,8.5385e-03
pair,rQ4+xrQ1,10.8293,9.3326,34.5998,41.7994,90,1,2.0168e-04,4.3861e-04,4.4291e-03,9.7875e-03
pair,dQ4+xrQ4,7.5871,8.4930,33.7811,48.8033,90,1,2.2126e-04,6.0631e-04,3.2454e-03,8.4127e-03
pair,dQ1+xrQ4,7.9079,7.7921,33.7128,43.3976,90,1,2.5490e-04,7.1845e-04,3.6940e-03,9.1523e-03
pair,rQ4+xdQ4,5.9505,6.8251,31.6380,44.3771,90,1,2.0042e-04,6.0673e-04,3.5060e-03,8.8187e-03
pair,xdQ2+xrQ4,9.5026,9.2901,30.9051,41.0732,90,1,2.5595e-04,6.9227e-04,3.5208e-03,9.3946e-03
pair,rQ4+xdQ1,5.3980,5.1092,30.0985,40.3420,90,1,2.2217e-04,6.0599e-04,3.8467e-03,8.9320e-03
pair,xrQ2+xrQ4,6.6245,6.4134,27.9100,34.5230,90,1,2.4096e-04,6.6213e-04,4.4554e-03,1.0102e-02
pair,xrQ3+xrQ4,5.3091,5.9217,27.3602,39.0724,90,1,2.8289e-04,6.1275e-04,3.6297e-03,8.3366e-03
pair,rQ1+xrQ4,6.9739,6.3546,27.2956,34.1980,90,1,2.6170e-04,7.7889e-04,4.2950e-03,9.8926e-03
pair,dQ2+xrQ4,7.7539,7.5336,26.9251,36.7441,90,1,2.8911e-04,7.2703e-04,3.6721e-03,9.2916e-03
pair,dQ4+rQ4,4.6623,4.8885,26.6126,38.5690,90,1,2.2382e-04,6.6452e-04,3.6605e-03,8.7133e-03
pair,rQ3+xrQ4,4.3753,4.1893,24.9960,31.9724,90,1,2.8168e-04,6.5639e-04,4.1929e-03,9.8879e-03
pair,rQ2+xrQ4,5.1173,4.4020,24.5835,29.8234,90,1,2.2760e-04,6.6389e-04,4.0708e-03,9.6827e-03
pair,xdQ3+xrQ4,11.8141,14.4695,23.5207,38.6913,90,1,3.0079e-04,7.4351e-04,3.6028e-03,7.8976e-03
pair,dQ3+xrQ4,7.6551,9.3617,22.7794,38.4632,90,1,3.0645e-04,7.7233e-04,3.7437e-03,7.4362e-03
